match_id,team,total_shots,goals,shots_on_target
3825873,Valencia,7,0,7
3825873,Villarreal,8,2,8
3825874,Getafe,6,0,6
3825874,Sevilla,22,5,20
3825875,Real Sociedad,7,0,6
3825875,Villarreal,8,0,7
3825876,Getafe,14,1,14
3825876,Real Betis,7,2,7
3825877,Athletic Club,8,1,5
3825877,Granada,9,1,8
3825878,Atlético Madrid,12,1,11
3825878,Rayo Vallecano,13,0,13
3825879,Las Palmas,15,1,12
3825879,Real Madrid,12,2,11
3825880,Levante UD,7,1,5
3825880,RC Deportivo La Coruña,14,1,12
3825881,Espanyol,10,0,9
3825881,Granada,8,1,7
3825882,Atlético Madrid,11,2,9
3825882,Celta Vigo,7,0,7
3825883,Las Palmas,12,1,11
3825883,Málaga,14,4,14
3825884,Real Betis,8,0,6
3825884,Sevilla,13,2,12
3825885,Getafe,15,0,15
3825885,Rayo Vallecano,15,2,14
3825886,Rayo Vallecano,11,2,11
3825886,Real Madrid,16,3,14
3825887,Granada,11,2,11
3825887,Rayo Vallecano,22,2,20
3825888,Las Palmas,18,1,17
3825888,Valencia,9,1,9
3825889,Celta Vigo,18,1,14
3825889,Real Betis,10,1,9
3825890,Atlético Madrid,14,1,13
3825890,Málaga,7,0,7
3825891,Espanyol,13,1,12
3825891,Las Palmas,9,0,7
3825892,Granada,11,0,10
3825892,Real Sociedad,8,3,7
3825893,Real Madrid,20,3,19
3825893,Villarreal,5,0,5
3825894,Getafe,9,2,9
3825894,RC Deportivo La Coruña,15,0,14
3825895,Las Palmas,12,2,12
3825895,Sevilla,16,0,16
3825896,Granada,13,5,13
3825896,Levante UD,14,1,13
3825897,Eibar,8,2,7
3825897,Real Sociedad,7,1,6
3825898,Celta Vigo,9,1,8
3825898,RC Deportivo La Coruña,7,1,7
3825899,Getafe,18,2,17
3825899,Valencia,5,2,5
3825900,Sporting Gijón,16,2,16
3825900,Villarreal,11,0,10
3825901,Real Madrid,15,3,14
3825901,Valencia,17,2,15
3825902,Levante UD,11,1,8
3825902,Rayo Vallecano,19,3,17
3825903,Málaga,14,1,14
3825903,Real Betis,16,0,14
3825904,Eibar,22,1,22
3825904,Real Betis,6,1,6
3825905,Espanyol,6,1,5
3825905,Málaga,11,1,11
3825906,RC Deportivo La Coruña,5,1,5
3825906,Sevilla,12,1,11
3825907,Atlético Madrid,4,1,3
3825907,Sporting Gijón,12,2,9
3825908,Eibar,13,2,13
3825908,Espanyol,10,4,10
